kin_id,language_id,name,description,saying
1,2,くりキン,最も多くぶんぶするキン。するどいせん毛をさか立て て攻撃する。いぜんは「うに」だと信じられていたが 研究が進み ｢くり」だということがわかった。,新しい自分
2,2,カビールス,しっけの多いところに生息 するキン。敵が近づくと体 をはれつさせ、カビのよう なものをまきちらす。モップの先にめるとよごれがキレイに落ちる。,しゅうちゃく心
3,2,ゴミスキン,きたない場所に生息するキン。ゴミ箱のようなカラに おおわれているが、その中 身がどうなっているかはナゾである。,なまけ者
4,2,ブリゴキン,よごれを好んで食べるキン。その見た目から人気はあまりないが、増殖力が高いため、バトル向きである。ただし防御力が低いので注意すること。,生命力
5,2,デメキン,目が大きいのでこの名前が ついた。いつも光っているが、攻撃時にはとくに明るくなる。ライトなどにぬると、より明るく長もちする。,希望の光
6,2,エレキン,発電能力のあるキン。クリ ーンなエネルギーとして期待されているが、まだ大きな電力を生み出すほどではない。,ひらめき
7,2,ハートリア,人なつっこいキン。キモチをだれかに伝えることができるといわれている。にぎやかな場所や人間の持ち物などに多く生息する。集中力を高めるコウカがあるとされる。,愛のこくはく
8,2,メロディウム,音のひびきが良くなるコウ力があるため楽器にぬられている。リズミカルにうごきタッチすると歌うように鳴く。ちなみにノドにぬったからといって歌がうまくなわけではない。,おどりあかそう
9,2,トライア,自分の体をたたいて強れつな音波を発生させるめずらしいキン。さわがしい場所に生息する。,ときめく心
10,2,キバリン,大きな口とするどいキバで 敵にかみつく。 人間のヒフにつくと、はげしいかゆみ をもたらすので注意すること。,ぜっこう
11,2,カガミン,光をよくはんしゃするので鏡などにぬられたり、ツヤを出すために使われている。攻撃時にはとくに明るくかがやく。,まだ見ぬ未来
12,2,サラキン,お皿のようなキン。体はかたいが、われやすいので強くもなく弱くもない。,むてっぽう
13,2,あずキン,もっとも小さいキン。攻撃力は低いが、ひじょうに増えやすく、数で勝負のバトル向き。いくつかのキンはあずキンから進化したと考えられている。,あのころの自分
14,2,うさキン,草むらなどにひっそりと生息するキン。ウサギににているためこの名前がついた。耳のような部分はツノで、攻撃に使う。,しふくの時
15,2,チビールス,木や岩などからよくサイシュできる。するどいやりのようなべん毛で攻撃する。ひじょうにはずかしがりやで、元気がないときは後ろを向いてしまう。,こあくま
16,2,ベンジェラート,いろいろなえいようそをふくんだキン。畑の土にまぜると、作物がよく育ち味もよくなる。しかし、ちょくせつ口にするとなので注意すること。,なかなおり
17,2,ハナキン,その名のとおり、花からサイシュできる花のキン。あまりバトル向きではないが、人気は高く、使わないが持っているという人も多い。,ゆかいな仲間
18,2,ぱんぷキン,土に生息するキン。 ビタミンがほうふなので、料理にまぜるとよいとされている。,勇気
19,2,アマクチン,あまいキン。さとうよりもあまくて、カロリーゼロ。ダイエットにもよいキン。,あまいゆうわく
20,2,ちゃキン,体は回転しても、目と口は動かないとくしゅなこうぞうのキン。ふくろのような体には何がつまっているのか。げんざい研究がすすめられている。,はかないゆめ
21,2,ヘキサリア,ひじょうに軽く、がんじょうなキン。びっしりならぶ と、活動を止め、コンクリ ートのようにかたくなる。建物のカベなどに使われている。,かたいきずな
22,2,オニオニス,タマネギのようなキン。たまに頭から葉っぱのようなものを出す。タッチするととてもよろこぶ。じっと見つめていると、なみだが出てくるといわれている。,悲しみ
23,2,カブッキン,4本の太いべん毛を使って攻撃する。あまり活発では ないが、ここぞというときミエをきる。,くじけぬ心
24,2,ペンキン,鳥のようだが空ではなく水に生息している。まっすぐなせいかくで、攻撃的だが、あまり強くはない。,しんらい
25,2,サメーバ,海に生息するドウモウなキン。かみついたらはなれない。キバリンのとつぜんへんいしたものだと、考えられている。,ごうよく
26,2,バウンドルフィン,はずむような動きがとくちょうのキン。おなかに玉をかかえてグルグル回しているが、これが体の一部なのかはまだわかっていない。,はずむ心
27,2,カラクチン,からいキン。どんな料理にも合うスパイシーなキン。とくにカレーに入れると、からさがワンランクアップ。,心がビリビリ
28,2,キングゾーリー,Lサイズの中ではよく知られているキン。体はあぶらっこく、ひじょうにやわらかい。水をはじくワックスやコーティングざいとして利用されている。,ねばり強さ
29,2,キラメキン,明るくキレイな場所に生息するキン。軽いため、空中にただよっていることもある。,元気いっぱい
30,2,キンダーク,うす暗い場所に生息するキン。光をよくきゅうしゅうする。黒板などにぬってある。,静かな野望
31,2,さぼキン,ひじょうに活発なキン。体じゅうに生えているトゲで 攻撃する。話しかけてあげるとよろこぶといわれているが、本当かどうかはナゾである。,よろこび
32,2,キンブレラ,太陽の光をきゅうしゅうするキン。日やけ止めなどに使われている。カサににているが、雨には弱い。見た目以上に重いので空中にただようことはない。,心がわり
33,2,タマモグラン,体の半分以上がタマゴのカラのようなものにおおわれている。原生キンだが、あまり研究がすすんでおらず、くわしいことはわかっていない。,恋の始まり
34,2,メイドキン,「まごころ」が形になったキンだといわれているが、くわしいことはわかっていない。小さいはねのようなものがついているため、おそらく飛べるだろうと考えられている。,まごころ
35,2,ぞうキン,よごれた水をすってキレイな水をはきだす。おとなしいせいかくで、増殖力は低め。,リーダーシップ
36,2,ヘモグロキン,大きな歯がじまんのキン。さんそを多くふくんでおり健康によいとされる。やわらかそうに見えるが、かたいウロコのようなものでおおわれている。,せっきょく的
37,2,キャンデリア,のどによいとされているキン。体の横についた耳のようなものをはばたかせて、空を飛ぶこともできるという。,みりょく的
38,2,ランドルー,くわしいことはまだわかつていないが、とても増殖力が高いといわれている。その形から、しりょくけんさに使われることもある。,チャレンジ
39,2,クロスワーム,小さな四角いサイボウがいくつも集まってできているめずらしいキン。建物の柱などをホキョウするために使われている。,せいしんせいい
40,2,ベニアン,主に木でできた建物に使われているキン。ひじょうにガンコなせいかくであつかいづらい。,がんこ者
41,2,シュリキン,はもののようにするどいキン。すばやく回転しながらほかのキンをたおす。とくに強いわけではないが、パトラーの間ではひじょうに人気が高い。,ひそかな思い
42,2,カワラーリー,5まいのうすい板じょうのものでできている。キン道場だけでサイシュできるキンのため、いっぱんにはあまり知られていない。,ぎりにんじょう
43,2,ゴウリキン,体はやわらかいが、口の中にするどいキバをもち、かみつくように攻撃する。韓息があらい。,だいたんふてき
44,2,マジョリウム,1本の大きなべん毛と2本の短いべん毛をゆらしながらうごく。攻撃するときは、あやしい光をはっする。ひじょうにナゾめいたキンである。,いちずな思い
45,2,パレットン,まぜ合わせるとさまざまな色を作り出すことができるため、絵の具の原料になっている。ふだんはかたいが、攻撃時にやわらかくなるめずらしいキン。,よりどりみどり
46,2,ブラッシー,体の下にびっしりとせん毛が生えており、そのすがたはフデのように見える。攻撃時にはせん毛からとくしゅなエキを出す。,ひとりじめ
47,2,マリオネ,人間をゆかいなキモチにさせる能力がある。体がだるいときに飲むと元気になるが、飲みすぎるとかえって疲れてしまう。,人気者
48,2,ニガミン,にがいキン。このキンだけを料理に使うことはないが、ほかのキンと組み合わせると、いろいろな味を作り出すことができる。,つらい思い出
49,2,ピグリア,草などを食べて生きているキン。黒く見えるところが鼻であるのか目であるのかでキン学会の考えもわかれている。,あふれるなみだ
